CUISINE_TYPE,ITEMS_SOLD
American,55998895
Mexican,19247073
Italian,7612041
Chinese,4035093
Japanese,3958452
Southern American,3814384
American Traditional,3504502
Asian,1410396
Canadian,1276135
Indian,1241758
Mediterranean,1208637
Thai,1119867
Vietnamese,672299
Hawaiian,513260
Middle Eastern,504627
Greek,460238
Korean,446945
European,419479
Cajun,296212
New American,295439
Tex-Mex,263143
Brazilian,248048
French,246262
Latin American,203292
Australian,159995
Soul Food,136830
Cuban,133787
Jamaican,113096
Caribbean,102030
Peruvian,92871
Sichuan,90888
Filipino,84869
Taiwanese,78810
Lebanese,73858
Czech,73512
Spanish,62263
Salvadoran,60222
Neapolitan,55109
Pakistani,48082
Turkish,38104
Portuguese,36891
Cantonese,32717
Nepalese,31976
Puerto Rican,28462
Colombian,28330
Jewish,26553
African,26361
Venezuelan,24138
North Indian,23771
Dominican,22548
Sicilian,22348
Persian,18081
Beijing,17370
South African,16857
South Indian,16760
Burmese,15143
Ethiopian,13294
Québécois,10623
Afghan,10575
Haitian,10436
Creole,10267
British,9004
